transcript,label
"Hi John, thanks for your time today. I understand you need better inventory management. Our software can automate reorder alerts and save you 20% in monthly costs. Shall we schedule a demo to finalize the details?",won
"Hello, this is Sarah from ACME Solutions. Do you have a moment to discuss our cloud backup services?",lost
"Good afternoon, I reviewed your recent support tickets. With our 24/7 monitoring, your downtime could be reduced by 90%. Can we get you onboarded next week?",won
"Hi there, we offer a free trial of our analytics tool. Did you get a chance to try it?",lost
"Hey Mike, based on your usage metrics, upgrading to our premium plan can cut costs by 15%. Ready to upgrade today?",won
"Hello, I wanted to follow up on our previous conversation about SEO services. Are you still interested?",lost
"Hi team, integrating our API will save your developers hours each week. Can we set up the implementation call?",won
"Good morning, this is Lisa. Just checking in about our security audit offer. Any thoughts?",lost
"Hello, as requested, I’ve prepared a custom quote showing ROI within 3 months. Shall I send it over?",won
"Hey, this is Dan from Webify. We have a new WordPress plugin that might help. Interested?",lost
"Hi Alice, with our CRM integration, your sales reps will save 2 hours daily. Ready to see a live walkthrough?",won
"Hello, I'm calling about the website redesign we discussed. Do you have budget approved?",lost
"Good afternoon, I noticed your competitor is using our platform. Would you like a comparison report?",won
"Hi, this is Mark from DataCorp. We recently launched a reporting tool. Want to learn more?",lost
"Hello, following up: our onboarding is 100% remote and completed in 2 days. Shall we get started?",won
"Hey there, just checking if you received the trial invite for our collaboration suite.",lost
"Hi Steve, after our pilot, your ROI increased by 30%. Can we discuss expanding usage?",won
"Hello, this is Nina from SecureIT. Do you need help with firewall configuration?",lost
"Good morning, your feedback session showed 95% satisfaction. Ready to roll out team‑wide?",won
"Hi, I wanted to see if you had questions about our project management tool trial.",lost
